Invoice,CustomerID,InvoiceDate,Country,TotalQuantity,TotalRevenue,NumLineItems,AvgUnitPrice,AnomalyScore,TopItems
556444,15098,2011-06-10 15:28:00,United Kingdom,60,38970.0,1,649.5,-0.18390994824240325,"PICNIC BASKET WICKER 60 PIECES (x60, £38970.00)"
541431,12346,2011-01-18 10:01:00,United Kingdom,74215,77183.6,1,1.04,-0.1820175004368093,"MEDIUM CERAMIC TOP STORAGE JAR (x74215, £77183.60)"
581483,16446,2011-12-09 09:15:00,United Kingdom,80995,168469.6,1,2.08,-0.179312610550879,"PAPER CRAFT , LITTLE BIRDIE (x80995, £168469.60)"
530715,15838,2010-11-04 11:36:00,United Kingdom,15696,17022.239999999998,2,0.94,-0.176078798167297,"ROTATING SILVER ANGELS T-LIGHT HLDR (x9360, £15818.40) | BROCADE RING PURSE (x6336, £1203.84)"
540815,15749,2011-01-11 12:55:00,United Kingdom,7044,15160.900000000001,3,2.1666666666666665,-0.16658628205246384,"FAIRY CAKE FLANNEL ASSORTED COLOUR (x3114, £6539.40) | WHITE HANGING HEART T-LIGHT HOLDER (x1930, £4921.50) | GIN + TONIC DIET METAL SIGN (x2000, £3700.00)"
550461,15749,2011-04-18 13:20:00,United Kingdom,9014,21535.9,5,2.928,-0.16615207264783816,"FAIRY CAKE FLANNEL ASSORTED COLOUR (x3114, £6539.40) | WHITE HANGING HEART T-LIGHT HOLDER (x1930, £4632.00) | DOORMAT FAIRY CAKE (x670, £4254.50) | GIN + TONIC DIET METAL SIGN (x2000, £3380.00) | TEA TIME TEA TOWELS (x1300, £2730.00)"
502269,17940,2010-03-23 15:36:00,United Kingdom,40000,10000.0,4,0.25,-0.16450995441551408,"PACK OF 12 SUKI TISSUES (x10000, £2500.00) | PACK OF 12 PINK PAISLEY TISSUES (x10000, £2500.00) | PACK OF 12 WOODLAND TISSUES (x10000, £2500.00) | PACK OF 12 RED SPOTTY TISSUES (x10000, £2500.00)"
567423,17450,2011-09-20 11:05:00,United Kingdom,12572,31698.159999999996,12,3.0641666666666665,-0.1636649583194636,"SET OF TEA COFFEE SUGAR TINS PANTRY (x1412, £7144.72) | PANTRY CHOPPING BOARD (x756, £3825.36) | SET OF 6 SPICE TINS PANTRY DESIGN (x852, £3621.00) | SET OF 3 CAKE TINS PANTRY DESIGN (x612, £3170.16) | PANTRY ROLLING PIN (x708, £2959.44)"
537659,18102,2010-12-07 16:43:00,United Kingdom,3689,15885.49,9,13.207777777777778,-0.16152531840369078,"VINTAGE UNION JACK MEMOBOARD (x600, £3828.00) | WOOD BLACK BOARD ANT WHITE FINISH (x600, £2868.00) | HALL CABINET WITH 3 DRAWERS (x72, £2353.68) | CREAM HEART CARD HOLDER (x1008, £2328.48) | BLACK HEART CARD HOLDER (x1008, £2328.48)"
556917,12415,2011-06-15 13:37:00,Australia,15049,22775.93,138,2.054855072463768,-0.1614120174823701,"SET OF 3 REGENCY CAKE TINS (x240, £996.00) | SET OF TEA COFFEE SUGAR TINS PANTRY (x240, £996.00) | SET OF 4 KNICK KNACK TINS DOILEY (x192, £720.00) | CHILDRENS CUTLERY DOLLY GIRL (x144, £540.00) | REGENCY TEAPOT ROSES (x60, £489.00)"
524181,17450,2010-09-27 16:59:00,United Kingdom,8172,33167.8,13,4.363846153846153,-0.16066354982151076,"VINTAGE UNION JACK CUSHION COVER (x648, £4464.72) | VINTAGE UNION JACK DOORSTOP (x648, £3862.08) | VINTAGE UNION JACK BUNTING (x408, £3618.96) | OPEN CLOSED METAL SIGN (x684, £3522.60) | PHARMACIE FIRST AID TIN (x464, £3308.32)"
497946,13902,2010-02-15 11:57:00,Denmark,83774,16973.1,30,0.26499999999999996,-0.15809993791529986,"SMALL FAIRY CAKE FRIDGE MAGNETS (x2504, £3630.80) | BLACK AND WHITE PAISLEY FLOWER MUG (x19152, £1915.20) | ASS FLORAL PRINT SCISSORS (x6696, £1004.40) | ASSORTED FARMYARD ANIMALS IN BUCKET (x3312, £993.60) | ASSORTED FLORAL SECATEURS (x2880, £864.00)"
525968,15838,2010-10-08 10:10:00,United Kingdom,7872,6082.08,2,0.9249999999999999,-0.15618576465966993,"ROTATING SILVER ANGELS T-LIGHT HLDR (x3120, £5179.20) | BROCADE RING PURSE (x4752, £902.88)"
563613,12688,2011-08-18 08:49:00,Israel,3028,4873.8099999999995,171,4.124736842105263,-0.15563377675162704,"WOODLAND DESIGN  COTTON TOTE BAG (x60, £135.00) | SCHOOL DESK AND CHAIR (x2, £130.00) | CHEST NATURAL WOOD 20 DRAWERS (x1, £125.00) | ROUND SNACK BOXES SET OF4 WOODLAND (x48, £122.40) | PAPER CHAIN KIT RETROSPOT (x36, £106.20)"
508748,17940,2010-05-18 11:45:00,United Kingdom,12500,6250.0,3,0.5,-0.15476517738646312,"PACK OF 12 HEARTS DESIGN TISSUES (x5000, £2500.00) | PACK OF 12 SUKI TISSUES (x5000, £2500.00) | PACK OF 12 PINK SPOT TISSUES (x2500, £1250.00)"
567381,17450,2011-09-20 10:12:00,United Kingdom,6760,22104.8,12,3.5500000000000003,-0.15416161179777066,"DOORSTOP RETROSPOT HEART (x744, £3035.52) | SET OF 10 LED DOLLY LIGHTS (x416, £2704.00) | SCOTTIE DOG HOT WATER BOTTLE (x496, £2529.60) | RETROSPOT HEART HOT WATER BOTTLE (x496, £2529.60) | MEMO BOARD RETROSPOT  DESIGN (x416, £2121.60)"
498152,13902,2010-02-17 10:51:00,Denmark,9456,2836.7999999999997,1,0.3,-0.15241321219003146,"SMALL FAIRY CAKE FRIDGE MAGNETS (x9456, £2836.80)"
493819,14156,2010-01-07 12:34:00,EIRE,25018,44051.6,94,2.4275531914893618,-0.1523048878779686,"POLKADOT CUTLERY 24 PCS IN TRAY (x200, £1990.00) | RETRO SPOT CAKE STAND (x144, £1576.80) | SET/5 RED SPOTTY LID GLASS BOWLS (x608, £1550.40) | S/16 VINTAGE PISTACHIO CUTLERY (x96, £1051.20) | S/16 VINTAGE RED CUTLERY (x96, £1051.20)"
563076,14646,2011-08-11 16:12:00,Netherlands,14730,19150.66,119,2.263781512605042,-0.1517283196542133,"3 HEARTS HANGING DECORATION RUSTIC (x256, £652.80) | ROUND SNACK BOXES SET OF4 WOODLAND (x240, £612.00) | DOLLY GIRL LUNCH BOX (x320, £528.00) | SPACEBOY LUNCH BOX (x320, £528.00) | CREAM CUPID HEARTS COAT HANGER (x128, £480.00)"
521315,15838,2010-09-03 12:01:00,United Kingdom,13008,5293.92,3,0.68,-0.15095930395691515,"ROTATING SILVER ANGELS T-LIGHT HLDR (x1920, £3187.20) | BROCADE RING PURSE (x7128, £1354.32) | BROCADE RING PURSE (x3960, £752.40)"
