itemset_str,quarters_present,quarters_list,mean_support,itemset_length,stability_label
WHITE HANGING HEART T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.13694123825752366,1,Stable (all 4 quarters)
REGENCY CAKESTAND 3 TIER,4,"[1, 2, 3, 4]",0.09170913959012296,1,Stable (all 4 quarters)
ASSORTED COLOUR BIRD ORNAMENT,4,"[1, 2, 3, 4]",0.07219382732712346,1,Stable (all 4 quarters)
JUMBO BAG RED RETROSPOT,4,"[1, 2, 3, 4]",0.07000145832118052,1,Stable (all 4 quarters)
PARTY BUNTING,4,"[1, 2, 3, 4]",0.06082898289389344,1,Stable (all 4 quarters)
LUNCH BAG  BLACK SKULL.,4,"[1, 2, 3, 4]",0.05583723565930281,1,Stable (all 4 quarters)
LUNCH BAG SPACEBOY DESIGN,4,"[1, 2, 3, 4]",0.052939028594991694,1,Stable (all 4 quarters)
HOME BUILDING BLOCK WORD,4,"[1, 2, 3, 4]",0.05217862512789524,1,Stable (all 4 quarters)
STRAWBERRY CERAMIC TRINKET BOX,4,"[1, 2, 3, 4]",0.051554795093453495,1,Stable (all 4 quarters)
LUNCH BAG CARS BLUE,4,"[1, 2, 3, 4]",0.050986523442309056,1,Stable (all 4 quarters)
60 TEATIME FAIRY CAKE CASES,4,"[1, 2, 3, 4]",0.05016502743824726,1,Stable (all 4 quarters)
REX CASH+CARRY JUMBO SHOPPER,4,"[1, 2, 3, 4]",0.04883411893646055,1,Stable (all 4 quarters)
WOODEN FRAME ANTIQUE WHITE,4,"[1, 2, 3, 4]",0.04882223935724924,1,Stable (all 4 quarters)
BAKING SET 9 PIECE RETROSPOT,4,"[1, 2, 3, 4]",0.04826502644726897,1,Stable (all 4 quarters)
HEART OF WICKER SMALL,4,"[1, 2, 3, 4]",0.048080622215573646,1,Stable (all 4 quarters)
JUMBO STORAGE BAG SUKI,4,"[1, 2, 3, 4]",0.047853320341002814,1,Stable (all 4 quarters)
JUMBO SHOPPER VINTAGE RED PAISLEY,4,"[1, 2, 3, 4]",0.04721769610011764,1,Stable (all 4 quarters)
HEART OF WICKER LARGE,4,"[1, 2, 3, 4]",0.04583684098450616,1,Stable (all 4 quarters)
NATURAL SLATE HEART CHALKBOARD,4,"[1, 2, 3, 4]",0.04550582800082311,1,Stable (all 4 quarters)
WOODEN PICTURE FRAME WHITE FINISH,4,"[1, 2, 3, 4]",0.04482902728422297,1,Stable (all 4 quarters)
LUNCH BAG WOODLAND,4,"[1, 2, 3, 4]",0.044818487636536966,1,Stable (all 4 quarters)
PACK OF 60 PINK PAISLEY CAKE CASES,4,"[1, 2, 3, 4]",0.04458951481462527,1,Stable (all 4 quarters)
JUMBO BAG STRAWBERRY,4,"[1, 2, 3, 4]",0.04366367306703697,1,Stable (all 4 quarters)
RED HANGING HEART T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.04360260498205027,1,Stable (all 4 quarters)
LOVE BUILDING BLOCK WORD,4,"[1, 2, 3, 4]",0.04279402271059523,1,Stable (all 4 quarters)
LUNCH BAG RED RETROSPOT,4,"[1, 2, 3, 4]",0.04108665237816062,1,Stable (all 4 quarters)
JUMBO  BAG BAROQUE BLACK WHITE,4,"[1, 2, 3, 4]",0.040636726326282985,1,Stable (all 4 quarters)
VICTORIAN GLASS HANGING T-LIGHT,4,"[1, 2, 3, 4]",0.04041616809569869,1,Stable (all 4 quarters)
VINTAGE SNAP CARDS,4,"[1, 2, 3, 4]",0.03883578542100071,1,Stable (all 4 quarters)
GIN + TONIC DIET METAL SIGN,4,"[1, 2, 3, 4]",0.03873039906563405,1,Stable (all 4 quarters)
PLEASE ONE PERSON METAL SIGN,4,"[1, 2, 3, 4]",0.038480673837934264,1,Stable (all 4 quarters)
6 RIBBONS RUSTIC CHARM,4,"[1, 2, 3, 4]",0.03661189450286354,1,Stable (all 4 quarters)
HAND OVER THE CHOCOLATE   SIGN,4,"[1, 2, 3, 4]",0.03630018543197359,1,Stable (all 4 quarters)
PACK OF 72 RETROSPOT CAKE CASES,4,"[1, 2, 3, 4]",0.035535762398373735,1,Stable (all 4 quarters)
JUMBO BAG PINK VINTAGE PAISLEY,4,"[1, 2, 3, 4]",0.03464048822200245,1,Stable (all 4 quarters)
COOK WITH WINE METAL SIGN,4,"[1, 2, 3, 4]",0.034165094812219826,1,Stable (all 4 quarters)
ZINC METAL HEART DECORATION,4,"[1, 2, 3, 4]",0.03397306350874528,1,Stable (all 4 quarters)
RECIPE BOX PANTRY YELLOW DESIGN,4,"[1, 2, 3, 4]",0.03387008773160752,1,Stable (all 4 quarters)
72 SWEETHEART FAIRY CAKE CASES,4,"[1, 2, 3, 4]",0.033586621143795486,1,Stable (all 4 quarters)
FELTCRAFT 6 FLOWER FRIENDS,4,"[1, 2, 3, 4]",0.0331768487400962,1,Stable (all 4 quarters)
VINTAGE UNION JACK BUNTING,4,"[1, 2, 3, 4]",0.03295068828173286,1,Stable (all 4 quarters)
HANGING HEART ZINC T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.03293550649541944,1,Stable (all 4 quarters)
PINK CREAM FELT CRAFT TRINKET BOX,4,"[1, 2, 3, 4]",0.03271841105842155,1,Stable (all 4 quarters)
CREAM HEART CARD HOLDER,4,"[1, 2, 3, 4]",0.03245049100757959,1,Stable (all 4 quarters)
ROUND SNACK BOXES SET OF4 WOODLAND,4,"[1, 2, 3, 4]",0.032314943589013094,1,Stable (all 4 quarters)
PACK OF 60 DINOSAUR CAKE CASES,4,"[1, 2, 3, 4]",0.032260704505050995,1,Stable (all 4 quarters)
PACK OF 72 SKULL CAKE CASES,4,"[1, 2, 3, 4]",0.032152792727295744,1,Stable (all 4 quarters)
SWEETHEART CERAMIC TRINKET BOX,4,"[1, 2, 3, 4]",0.03196903099358766,1,Stable (all 4 quarters)
HANGING HEART JAR T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.03170296402536735,1,Stable (all 4 quarters)
RED HANGING HEART T-LIGHT HOLDER | WHITE HANGING HEART T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.031088896787057677,2,Stable (all 4 quarters)
LUNCH BAG SUKI  DESIGN,4,"[1, 2, 3, 4]",0.03083478616828369,1,Stable (all 4 quarters)
BATHROOM METAL SIGN,4,"[1, 2, 3, 4]",0.030831802859430386,1,Stable (all 4 quarters)
PLASTERS IN TIN SPACEBOY,4,"[1, 2, 3, 4]",0.030663913433664838,1,Stable (all 4 quarters)
LUNCH BAG PINK POLKADOT,4,"[1, 2, 3, 4]",0.030074158170513995,1,Stable (all 4 quarters)
WOODLAND CHARLOTTE BAG,4,"[1, 2, 3, 4]",0.030005793953529702,1,Stable (all 4 quarters)
SPACEBOY LUNCH BOX,4,"[1, 2, 3, 4]",0.02961123971632653,1,Stable (all 4 quarters)
CLOTHES PEGS RETROSPOT PACK 24,4,"[1, 2, 3, 4]",0.029300968737917564,1,Stable (all 4 quarters)
RECYCLING BAG RETROSPOT,4,"[1, 2, 3, 4]",0.029230465640756764,1,Stable (all 4 quarters)
PLASTERS IN TIN CIRCUS PARADE,4,"[1, 2, 3, 4]",0.02922360034916654,1,Stable (all 4 quarters)
PLASTERS IN TIN WOODLAND ANIMALS,4,"[1, 2, 3, 4]",0.029180071744372014,1,Stable (all 4 quarters)
WOOD S/3 CABINET ANT WHITE FINISH,4,"[1, 2, 3, 4]",0.02908303579220253,1,Stable (all 4 quarters)
ALARM CLOCK BAKELIKE RED,4,"[1, 2, 3, 4]",0.0290345652471201,1,Stable (all 4 quarters)
SMALL POPCORN HOLDER,4,"[1, 2, 3, 4]",0.028944216161544745,1,Stable (all 4 quarters)
WOOD BLACK BOARD ANT WHITE FINISH,4,"[1, 2, 3, 4]",0.028707134426467426,1,Stable (all 4 quarters)
ROSES REGENCY TEACUP AND SAUCER,4,"[1, 2, 3, 4]",0.028685292714665488,1,Stable (all 4 quarters)
IVORY KITCHEN SCALES,4,"[1, 2, 3, 4]",0.028605654500838434,1,Stable (all 4 quarters)
RETROSPOT TEA SET CERAMIC 11 PC,4,"[1, 2, 3, 4]",0.028558706203053154,1,Stable (all 4 quarters)
FELTCRAFT BUTTERFLY HEARTS,4,"[1, 2, 3, 4]",0.02845727551604441,1,Stable (all 4 quarters)
JUMBO BAG PINK POLKADOT,4,"[1, 2, 3, 4]",0.028344415478373353,1,Stable (all 4 quarters)
ROUND SNACK BOXES SET OF 4 FRUITS,4,"[1, 2, 3, 4]",0.028314398379946003,1,Stable (all 4 quarters)
WOOD 2 DRAWER CABINET WHITE FINISH,4,"[1, 2, 3, 4]",0.028303598416193173,1,Stable (all 4 quarters)
STRAWBERRY CHARLOTTE BAG,4,"[1, 2, 3, 4]",0.028144222172818898,1,Stable (all 4 quarters)
RED TOADSTOOL LED NIGHT LIGHT,4,"[1, 2, 3, 4]",0.027952948713837838,1,Stable (all 4 quarters)
NO SINGING METAL SIGN,4,"[1, 2, 3, 4]",0.027938143675714507,1,Stable (all 4 quarters)
JUMBO BAG SPACEBOY DESIGN,4,"[1, 2, 3, 4]",0.02752739051397715,1,Stable (all 4 quarters)
JUMBO STORAGE BAG SKULLS,4,"[1, 2, 3, 4]",0.02751219767601012,1,Stable (all 4 quarters)
VINTAGE HEADS AND TAILS CARD GAME,4,"[1, 2, 3, 4]",0.027340309823236618,1,Stable (all 4 quarters)
SET OF 3 HEART COOKIE CUTTERS,4,"[1, 2, 3, 4]",0.027281505303457854,1,Stable (all 4 quarters)
RED RETROSPOT CAKE STAND,4,"[1, 2, 3, 4]",0.026982973031232062,1,Stable (all 4 quarters)
PINK BLUE FELT CRAFT TRINKET BOX,4,"[1, 2, 3, 4]",0.02685390157930024,1,Stable (all 4 quarters)
WOODEN FRAME ANTIQUE WHITE | WOODEN PICTURE FRAME WHITE FINISH,4,"[1, 2, 3, 4]",0.026704937245422986,2,Stable (all 4 quarters)
DOLLY GIRL LUNCH BOX,4,"[1, 2, 3, 4]",0.026653284818453696,1,Stable (all 4 quarters)
PLASTERS IN TIN VINTAGE PAISLEY,4,"[1, 2, 3, 4]",0.025968180392962413,1,Stable (all 4 quarters)
CHARLOTTE BAG SUKI DESIGN,4,"[1, 2, 3, 4]",0.025961646291691304,1,Stable (all 4 quarters)
SET/5 RED RETROSPOT LID GLASS BOWLS,4,"[1, 2, 3, 4]",0.025921545934363494,1,Stable (all 4 quarters)
JUMBO BAG WOODLAND ANIMALS,4,"[1, 2, 3, 4]",0.025809695918420986,1,Stable (all 4 quarters)
PACK OF 60 SPACEBOY CAKE CASES,4,"[1, 2, 3, 4]",0.02574782986758168,1,Stable (all 4 quarters)
JAM MAKING SET WITH JARS,4,"[1, 2, 3, 4]",0.025704232075576736,1,Stable (all 4 quarters)
JUMBO BAG OWLS,4,"[1, 2, 3, 4]",0.025597000541014003,1,Stable (all 4 quarters)
GREEN REGENCY TEACUP AND SAUCER,4,"[1, 2, 3, 4]",0.02545255823289161,1,Stable (all 4 quarters)
GUMBALL COAT RACK,4,"[1, 2, 3, 4]",0.02541156591479005,1,Stable (all 4 quarters)
JAM MAKING SET PRINTED,4,"[1, 2, 3, 4]",0.025249930065714472,1,Stable (all 4 quarters)
WORLD WAR 2 GLIDERS ASSTD DESIGNS,4,"[1, 2, 3, 4]",0.025110541971697545,1,Stable (all 4 quarters)
PACK OF 6 BIRDY GIFT TAGS,4,"[1, 2, 3, 4]",0.025081500405520814,1,Stable (all 4 quarters)
LADIES & GENTLEMEN METAL SIGN,4,"[1, 2, 3, 4]",0.02478010868718961,1,Stable (all 4 quarters)
SET OF 4 PANTRY JELLY MOULDS,4,"[1, 2, 3, 4]",0.02472729282568131,1,Stable (all 4 quarters)
EDWARDIAN PARASOL NATURAL,4,"[1, 2, 3, 4]",0.024454685476637057,1,Stable (all 4 quarters)
SET/20 RED RETROSPOT PAPER NAPKINS,4,"[1, 2, 3, 4]",0.024256129758250276,1,Stable (all 4 quarters)
RED  HARMONICA IN BOX,4,"[1, 2, 3, 4]",0.024158780863371178,1,Stable (all 4 quarters)
POTTERING IN THE SHED METAL SIGN,4,"[1, 2, 3, 4]",0.024128112057144543,1,Stable (all 4 quarters)
CHILLI LIGHTS,4,"[1, 2, 3, 4]",0.0239101558210521,1,Stable (all 4 quarters)
HEART OF WICKER LARGE | HEART OF WICKER SMALL,4,"[1, 2, 3, 4]",0.023870322995673307,2,Stable (all 4 quarters)
DOORMAT UNION FLAG,4,"[1, 2, 3, 4]",0.02375436045057675,1,Stable (all 4 quarters)
RED RETROSPOT CHARLOTTE BAG,4,"[1, 2, 3, 4]",0.02373896281493843,1,Stable (all 4 quarters)
LUNCH BAG DOLLY GIRL DESIGN,4,"[1, 2, 3, 4]",0.02366775359047129,1,Stable (all 4 quarters)
BAKING SET SPACEBOY DESIGN,4,"[1, 2, 3, 4]",0.023571433948306936,1,Stable (all 4 quarters)
SINGLE HEART ZINC T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.023532156562896644,1,Stable (all 4 quarters)
CREAM SWEETHEART MINI CHEST,4,"[1, 2, 3, 4]",0.022922658034157918,1,Stable (all 4 quarters)
SET OF 3 BUTTERFLY COOKIE CUTTERS,4,"[1, 2, 3, 4]",0.022802744805795125,1,Stable (all 4 quarters)
HOME BUILDING BLOCK WORD | LOVE BUILDING BLOCK WORD,4,"[1, 2, 3, 4]",0.022659383479772102,2,Stable (all 4 quarters)
GRAND CHOCOLATECANDLE,4,"[1, 2, 3, 4]",0.022482616882027864,1,Stable (all 4 quarters)
CHOCOLATE THIS WAY METAL SIGN,4,"[1, 2, 3, 4]",0.022285159934799462,1,Stable (all 4 quarters)
BEWARE OF THE CAT METAL SIGN,4,"[1, 2, 3, 4]",0.022045312274652736,1,Stable (all 4 quarters)
3 STRIPEY MICE FELTCRAFT,4,"[1, 2, 3, 4]",0.021979543485849108,1,Stable (all 4 quarters)
METAL SIGN TAKE IT OR LEAVE IT,4,"[1, 2, 3, 4]",0.021865929318076505,1,Stable (all 4 quarters)
LUNCH BAG  BLACK SKULL. | LUNCH BAG SPACEBOY DESIGN,4,"[1, 2, 3, 4]",0.021764431401180097,2,Stable (all 4 quarters)
RIBBON REEL STRIPES DESIGN,4,"[1, 2, 3, 4]",0.021305733631986623,1,Stable (all 4 quarters)
RED KITCHEN SCALES,4,"[1, 2, 3, 4]",0.02114385937614736,1,Stable (all 4 quarters)
60 TEATIME FAIRY CAKE CASES | PACK OF 60 PINK PAISLEY CAKE CASES,4,"[1, 2, 3, 4]",0.020781557822993416,2,Stable (all 4 quarters)
LOVEBIRD HANGING DECORATION WHITE,4,"[1, 2, 3, 4]",0.020580481895857726,1,Stable (all 4 quarters)
CREAM CUPID HEARTS COAT HANGER,4,"[1, 2, 3, 4]",0.020579917272639216,1,Stable (all 4 quarters)
PINK REGENCY TEACUP AND SAUCER,4,"[1, 2, 3, 4]",0.02057885900627688,1,Stable (all 4 quarters)
MEMO BOARD RETROSPOT  DESIGN,4,"[1, 2, 3, 4]",0.020522817911678475,1,Stable (all 4 quarters)
GREEN REGENCY TEACUP AND SAUCER | ROSES REGENCY TEACUP AND SAUCER,4,"[1, 2, 3, 4]",0.02031446137783836,2,Stable (all 4 quarters)
PACK OF 60 MUSHROOM CAKE CASES,4,"[1, 2, 3, 4]",0.02011740411575142,1,Stable (all 4 quarters)
ASSORTED COLOUR MINI CASES,4,"[1, 2, 3, 4]",0.020092359078816367,1,Stable (all 4 quarters)
SMALL GLASS HEART TRINKET POT,4,"[1, 2, 3, 4]",0.02007478507570693,1,Stable (all 4 quarters)
FELTCRAFT CUSHION OWL,4,"[1, 2, 3, 4]",0.020032019566409237,1,Stable (all 4 quarters)
DOORMAT RED RETROSPOT,4,"[1, 2, 3, 4]",0.020013842353675752,1,Stable (all 4 quarters)
DOORMAT NEW ENGLAND,4,"[1, 2, 3, 4]",0.019985926474121344,1,Stable (all 4 quarters)
BOX OF 24 COCKTAIL PARASOLS,4,"[1, 2, 3, 4]",0.01990135097962992,1,Stable (all 4 quarters)
PAINTED METAL PEARS ASSORTED,4,"[1, 2, 3, 4]",0.019140018950159352,1,Stable (all 4 quarters)
HEART FILIGREE DOVE  SMALL,4,"[1, 2, 3, 4]",0.019105763950701068,1,Stable (all 4 quarters)
PACK OF 20 NAPKINS PANTRY DESIGN,4,"[1, 2, 3, 4]",0.018875933201317925,1,Stable (all 4 quarters)
WHITE HANGING HEART T-LIGHT HOLDER | WOODEN FRAME ANTIQUE WHITE,4,"[1, 2, 3, 4]",0.01881435460851331,2,Stable (all 4 quarters)
FELTCRAFT DOLL MOLLY,4,"[1, 2, 3, 4]",0.018637216114143436,1,Stable (all 4 quarters)
FELTCRAFT DOLL ROSIE,4,"[1, 2, 3, 4]",0.01857056951569285,1,Stable (all 4 quarters)
FELTCRAFT CUSHION RABBIT,4,"[1, 2, 3, 4]",0.01853396187870685,1,Stable (all 4 quarters)
ASSORTED COLOUR BIRD ORNAMENT | WHITE HANGING HEART T-LIGHT HOLDER,4,"[1, 2, 3, 4]",0.018222066792067386,2,Stable (all 4 quarters)
MEMO BOARD COTTAGE DESIGN,4,"[1, 2, 3, 4]",0.017875865393936752,1,Stable (all 4 quarters)
SCOTTIE DOG HOT WATER BOTTLE,3,"[1, 3, 4]",0.043661886084401885,1,Mostly stable (3/4)
PACK OF 72 RETRO SPOT CAKE CASES,3,"[1, 2, 3]",0.043137219597378575,1,Mostly stable (3/4)
CHOCOLATE HOT WATER BOTTLE,3,"[1, 3, 4]",0.04226534161408737,1,Mostly stable (3/4)
LUNCH BAG RED SPOTTY,3,"[1, 2, 3]",0.040811388396324304,1,Mostly stable (3/4)
SET OF 3 CAKE TINS PANTRY DESIGN,3,"[1, 3, 4]",0.03998504042189142,1,Mostly stable (3/4)
COLOUR GLASS T-LIGHT HOLDER HANGING,3,"[1, 2, 3]",0.03924940987892554,1,Mostly stable (3/4)
HOT WATER BOTTLE TEA AND SYMPATHY,3,"[1, 3, 4]",0.03848174475864611,1,Mostly stable (3/4)
SPOTTY BUNTING,3,"[2, 3, 4]",0.03662335971375256,1,Mostly stable (3/4)
ALARM CLOCK BAKELIKE GREEN,3,"[1, 3, 4]",0.0319481120425312,1,Mostly stable (3/4)
HANGING JAM JAR T-LIGHT HOLDER,3,"[1, 2, 3]",0.031017645530626248,1,Mostly stable (3/4)
LUNCH BAG PINK RETROSPOT,3,"[1, 2, 3]",0.03012810562771692,1,Mostly stable (3/4)
SET/20 RED SPOTTY PAPER NAPKINS,3,"[1, 2, 3]",0.03000274774818863,1,Mostly stable (3/4)
RED WOOLLY HOTTIE WHITE HEART.,3,"[1, 3, 4]",0.02994221025253387,1,Mostly stable (3/4)
LUNCH BAG SUKI DESIGN,3,"[2, 3, 4]",0.02957175766978252,1,Mostly stable (3/4)
JUMBO BAG PINK WITH WHITE SPOTS,3,"[1, 2, 3]",0.02951532651054287,1,Mostly stable (3/4)
SET/5 RED SPOTTY LID GLASS BOWLS,3,"[1, 2, 3]",0.029444227879548118,1,Mostly stable (3/4)
PINK HAPPY BIRTHDAY BUNTING,3,"[1, 2, 3]",0.02857362084109731,1,Mostly stable (3/4)
PLASTERS IN TIN SKULLS,3,"[2, 3, 4]",0.0273766247612921,1,Mostly stable (3/4)
DOORMAT HEARTS,3,"[1, 3, 4]",0.027014237062986307,1,Mostly stable (3/4)
JUMBO BAG VINTAGE LEAF,3,"[2, 3, 4]",0.026990082858482072,1,Mostly stable (3/4)
WHITE WOOD GARDEN PLANT LADDER,3,"[1, 2, 3]",0.026869375419611555,1,Mostly stable (3/4)
JUMBO BAG ALPHABET,3,"[2, 3, 4]",0.026732434240452158,1,Mostly stable (3/4)
SPACEBOY BIRTHDAY CARD,3,"[1, 2, 3]",0.025885769130171227,1,Mostly stable (3/4)
HOT BATHS METAL SIGN,3,"[1, 2, 4]",0.025792706325596004,1,Mostly stable (3/4)
PLASTERS IN TIN STRONGMAN,3,"[2, 3, 4]",0.025725342330436118,1,Mostly stable (3/4)
WOODEN SCHOOL COLOURING SET,3,"[2, 3, 4]",0.025628031272627416,1,Mostly stable (3/4)
STRAWBERRY CERAMIC TRINKET BOX | SWEETHEART CERAMIC TRINKET BOX,3,"[2, 3, 4]",0.025208636108496635,2,Mostly stable (3/4)
GARDENERS KNEELING PAD KEEP CALM,3,"[2, 3, 4]",0.024976457315461997,1,Mostly stable (3/4)
PARTY METAL SIGN,3,"[2, 3, 4]",0.024926243390794186,1,Mostly stable (3/4)
STRAWBERRY LUNCH BOX WITH CUTLERY,3,"[2, 3, 4]",0.02487161715568047,1,Mostly stable (3/4)
WOODEN BOX OF DOMINOES,3,"[1, 3, 4]",0.02452268222904241,1,Mostly stable (3/4)
TOILET METAL SIGN,3,"[1, 2, 3]",0.02416274846221092,1,Mostly stable (3/4)
METAL 4 HOOK HANGER FRENCH CHATEAU,3,"[1, 3, 4]",0.024011255485811383,1,Mostly stable (3/4)
PACK OF 12 HEARTS DESIGN TISSUES,3,"[1, 3, 4]",0.023969139811419692,1,Mostly stable (3/4)
PAPER BUNTING RETRO SPOTS,3,"[1, 2, 3]",0.0237697881656324,1,Mostly stable (3/4)
EDWARDIAN PARASOL BLACK,3,"[1, 3, 4]",0.023706404641010207,1,Mostly stable (3/4)
BLUE HARMONICA IN BOX,3,"[2, 3, 4]",0.023369155876948485,1,Mostly stable (3/4)
LUNCH BOX I LOVE LONDON,3,"[1, 3, 4]",0.023343259255397167,1,Mostly stable (3/4)
POTTING SHED TEA MUG,3,"[1, 2, 4]",0.023300654865455152,1,Mostly stable (3/4)
LUNCH BAG  BLACK SKULL. | LUNCH BAG CARS BLUE,3,"[1, 2, 3]",0.02321456942008168,2,Mostly stable (3/4)
ANTIQUE SILVER TEA GLASS ETCHED,3,"[1, 3, 4]",0.022975706573845272,1,Mostly stable (3/4)
I'M ON HOLIDAY METAL SIGN,3,"[1, 2, 3]",0.022967518018884858,1,Mostly stable (3/4)
JUMBO BAG SCANDINAVIAN PAISLEY,3,"[1, 3, 4]",0.022845699258046807,1,Mostly stable (3/4)
RETRO SPOT TEA SET CERAMIC 11 PC,3,"[1, 2, 3]",0.022632194837219777,1,Mostly stable (3/4)
LUNCH BAG SPACEBOY DESIGN | LUNCH BAG WOODLAND,3,"[1, 2, 3]",0.022610179452434747,2,Mostly stable (3/4)
WASHROOM METAL SIGN,3,"[1, 2, 3]",0.02247296658111295,1,Mostly stable (3/4)
RED SPOTTY CHARLOTTE BAG,3,"[1, 2, 3]",0.022455059860906863,1,Mostly stable (3/4)
SET/6 RED SPOTTY PAPER PLATES,3,"[1, 2, 3]",0.022402093555446426,1,Mostly stable (3/4)
TRADITIONAL KNITTING NANCY,3,"[2, 3, 4]",0.022204048647094413,1,Mostly stable (3/4)
JUMBO BAG RED RETROSPOT | JUMBO STORAGE BAG SUKI,3,"[2, 3, 4]",0.022037275255363722,2,Mostly stable (3/4)
LUNCH BAG CARS BLUE | LUNCH BAG WOODLAND,3,"[1, 2, 3]",0.02203351592703587,2,Mostly stable (3/4)
JUMBO BAG RED RETROSPOT | JUMBO BAG STRAWBERRY,3,"[2, 3, 4]",0.02201819526978514,2,Mostly stable (3/4)
LUNCH BAG CARS BLUE | LUNCH BAG SPACEBOY DESIGN,3,"[1, 2, 3]",0.021915035552570645,2,Mostly stable (3/4)
HEART IVORY TRELLIS LARGE,3,"[2, 3, 4]",0.021795880787091895,1,Mostly stable (3/4)
RED GINGHAM ROSE JEWELLERY BOX,3,"[1, 3, 4]",0.02169081705944269,1,Mostly stable (3/4)
JUMBO BAG TOYS,3,"[1, 2, 3]",0.02168470856684139,1,Mostly stable (3/4)
ALARM CLOCK BAKELIKE GREEN | ALARM CLOCK BAKELIKE RED,3,"[1, 3, 4]",0.021599175253339636,2,Mostly stable (3/4)
CERAMIC STRAWBERRY CAKE MONEY BANK,3,"[2, 3, 4]",0.02148973781701786,1,Mostly stable (3/4)
AREA PATROLLED METAL SIGN,3,"[1, 2, 3]",0.0214667871893003,1,Mostly stable (3/4)
ASSORTED COLOURS SILK FAN,3,"[1, 2, 3]",0.021259982706905683,1,Mostly stable (3/4)
GARDENERS KNEELING PAD CUP OF TEA,3,"[2, 3, 4]",0.021109922301087422,1,Mostly stable (3/4)
HANGING METAL HEART LANTERN,3,"[1, 2, 3]",0.020830516592674844,1,Mostly stable (3/4)
LUNCH BAG  BLACK SKULL. | LUNCH BAG WOODLAND,3,"[1, 2, 3]",0.020727138449506233,2,Mostly stable (3/4)
TEA PARTY BIRTHDAY CARD,3,"[1, 2, 3]",0.020722670780188725,1,Mostly stable (3/4)
PAPER BUNTING RETROSPOT,3,"[1, 2, 3]",0.020652061682181647,1,Mostly stable (3/4)
